iter	Logloss
0	0.302622294
1	0.2775812689
2	0.2718518175
3	0.2688665391
4	0.2676724709
5	0.2672018258
6	0.2669066104
7	0.2665242901
8	0.266336406
9	0.2661714761
10	0.2660668046
11	0.2658193235
12	0.2656854758
13	0.2655735366
14	0.2654857637
15	0.2654127034
16	0.2653241974
17	0.2652805348
18	0.2651623555
19	0.265099672
20	0.2650084808
21	0.2649247912
22	0.2648760767
23	0.264835245
24	0.2647696617
25	0.2646832022
26	0.2645981729
27	0.2644769313
28	0.2644157287
29	0.2643315235
30	0.2642314838
31	0.2641545986
32	0.2640517037
33	0.2639938782
34	0.263886688
35	0.2637899207
36	0.2637078368
37	0.2636454323
38	0.2635399177
39	0.2634833413
40	0.263411336
41	0.2633457211
42	0.2632911762
43	0.2632249346
44	0.2631475863
45	0.2630749335
46	0.2629650338
47	0.2628715077
48	0.2628354044
49	0.262731242
50	0.2626584012
51	0.2625825516
52	0.2624996226
53	0.2624579325
54	0.2623838892
55	0.2623040389
56	0.2622413507
57	0.262179909
58	0.2621114281
59	0.2620619449
60	0.2619654915
61	0.2618936566
62	0.261813817
63	0.2617371906
64	0.2616391217
65	0.2615501695
66	0.2614908645
67	0.2614273106
68	0.2613767582
69	0.2613357936
70	0.2612716899
71	0.2612138869
72	0.2611557816
73	0.2611052435
74	0.2610430387
75	0.2609839501
76	0.260934236
77	0.2608883181
78	0.2608556255
79	0.2607968137
80	0.2607284611
81	0.2606810377
82	0.2606048928
83	0.2605615606
84	0.2605319692
85	0.2604935136
86	0.2604480988
87	0.2604175417
88	0.2603685789
89	0.26033672
90	0.2602574345
91	0.2602132491
92	0.2601472949
93	0.2600801532
94	0.2600515564
95	0.2600006412
96	0.2599489441
97	0.2598936076
98	0.259849833
99	0.2598013601
100	0.2597340944
101	0.2596834874
102	0.2596566879
103	0.2596120004
104	0.2595547569
105	0.2595136467
106	0.2594932788
107	0.2594530615
108	0.2593844534
109	0.2593301851
110	0.2592809495
111	0.2592298292
112	0.2591980358
113	0.259119709
114	0.2590679783
115	0.2590372043
116	0.2589903141
117	0.2589477805
118	0.2588863189
119	0.258826943
120	0.2587660164
121	0.2587094724
122	0.2586679338
123	0.2586074277
124	0.2585595372
125	0.2585544927
126	0.2584798876
127	0.2584205129
128	0.2583592647
129	0.2583173359
130	0.2582646214
131	0.2582060647
132	0.2581471284
133	0.25811224
134	0.2580785747
135	0.2580165853
136	0.2579653371
137	0.2579182694
138	0.2578800442
139	0.2578316444
140	0.2577750356
141	0.2577323297
142	0.2576862363
143	0.2576539983
144	0.2576201736
145	0.2575727471
146	0.2575256366
147	0.2574884829
148	0.2574428447
149	0.2573947234
150	0.2573451248
151	0.2572985733
152	0.2572377272
153	0.2571798379
154	0.2571215945
155	0.25706591
156	0.2570217439
157	0.2569908439
158	0.2569376919
159	0.2569002507
160	0.2568766384
161	0.256818998
162	0.2567822311
163	0.2567424925
164	0.2567054314
165	0.256656113
166	0.256604802
167	0.2565613663
168	0.2565098686
169	0.2564724663
170	0.2564052627
171	0.2563618384
172	0.256318593
173	0.2562788723
174	0.2562299232
175	0.25617876
176	0.2561296051
177	0.2560857834
178	0.2560478155
179	0.2559962178
180	0.2559547914
181	0.2559147879
182	0.2558641366
183	0.2558133014
184	0.2557927206
185	0.2557655189
186	0.2557493566
187	0.2557005496
188	0.2556663709
189	0.2556229184
190	0.2555803365
191	0.2555155858
192	0.2554878707
193	0.2554493675
194	0.2554141162
195	0.2553900001
196	0.2553427646
197	0.2553327255
198	0.255304352
199	0.2552677326
